1.528143405914306641e+00,2.146449327468872070e+00
9.211076498031616211e-01,1.891085267066955566e+00
4.847621023654937744e-01,1.673672080039978027e+00
2.502543330192565918e-01,1.574038147926330566e+00
1.192679330706596375e-01,1.521612286567687988e+00
4.422267526388168335e-02,1.500203013420104980e+00
1.091996766626834869e-02,1.489710450172424316e+00
1.907174009829759598e-03,1.483218789100646973e+00
3.238212666474282742e-04,1.479639530181884766e+00
7.391086546704173088e-05,1.478807091712951660e+00
4.210789848002605140e-05,1.476440310478210449e+00
1.254143899132031947e-05,1.476383447647094727e+00
2.591829048469662666e-03,1.476726412773132324e+00
1.578259281814098358e-02,1.482008934020996094e+00
